STATE,SAEMHI_MOE,SAEMHI_PT,SAEMHI_UB90,SAEPOV0_17_LB90,SAEPOV0_17_MOE,SAEPOV0_17_PT,SAEPOV0_17_UB90,SAEPOV0_4_LB90,SAEPOV0_4_MOE,SAEPOV0_4_PT,SAEPOV0_4_UB90,SAEPOV5_17R_LB90,SAEPOV5_17R_MOE,SAEPOV5_17R_PT,SAEPOV5_17R_UB90,SAEPOVALL_LB90,SAEPOVALL_MOE,SAEPOVALL_PT,SAEPOVALL_UB90,SAEPOVRT0_17_LB90,SAEPOVRT0_17_MOE,SAEPOVRT0_17_PT,SAEPOVRT0_17_UB90,SAEPOVRT0_4_LB90,SAEPOVRT0_4_MOE,SAEPOVRT0_4_PT,SAEPOVRT0_4_UB90,SAEPOVRT5_17R_LB90,SAEPOVRT5_17R_MOE,SAEPOVRT5_17R_PT,SAEPOVRT5_17R_UB90,SAEPOVRTALL_LB90,SAEPOVRTALL_MOE,SAEPOVRTALL_PT,SAEPOVRTALL_UB90,SAEPOVU_0_17,SAEPOVU_0_4,SAEPOVU_5_17R,SAEPOVU_ALL,YEAR
Minnesota,1559,46153,47712,90519,28626,119144,147770,12892,13212,26104,39316,60595,24802,85397,110199,322220,41884,364104,405988,7.1,2.25,9.3,11.6,4.0,4.05,8.0,12.1,6.5,2.65,9.2,11.8,6.6,0.90,7.5,8.4,1278305,326084,932863,4845855,1999
Mississippi,1515,30739,32254,177659,23224,200883,224106,46362,10728,57090,67818,119557,20452,140009,160461,473087,32590,505676,538266,23.1,3.00,26.1,29.1,22.8,5.30,28.1,33.4,21.6,3.70,25.3,29.0,17.0,1.20,18.2,19.4,769637,203232,552490,2780646,1999
Missouri,1515,37885,39400,202749,33479,236228,269706,51154,15183,66337,81520,130664,29711,160375,190086,579193,48451,627643,676094,14.3,2.35,16.7,19.0,13.9,4.15,18.1,22.2,12.6,2.85,15.4,18.3,10.6,0.85,11.4,12.3,1417573,367098,1039412,5484837,1999
Montana,1321,32098,33418,39857,5811,45667,51478,10697,2502,13199,15701,24868,5110,29978,35088,117930,8906,126835,135741,17.6,2.55,20.2,22.7,20.0,4.65,24.6,29.3,14.8,3.00,17.8,20.8,13.3,1.00,14.3,15.3,226578,53597,168539,886008,1999
Nebraska,1361,38668,40029,45495,10080,55575,65654,12170,4610,16780,21390,27229,8761,35990,44751,147643,15164,162806,177970,10.2,2.30,12.5,14.8,10.4,3.95,14.3,18.3,8.5,2.70,11.2,13.9,8.8,0.90,9.7,10.6,444680,116963,321055,1679366,1999
Nevada,1378,41939,43316,64948,11855,76802,88657,18428,6193,24621,30814,37671,9888,47559,57447,183139,17455,200594,218049,12.9,2.35,15.3,17.6,13.0,4.35,17.3,21.7,10.8,2.85,13.7,16.5,9.3,0.90,10.2,11.1,503001,142049,347712,1963763,1999
New Hampshire,1518,47284,48802,17867,7182,25049,32230,3705,3091,6796,9887,9892,6363,16255,22618,70849,11234,82082,93316,5.9,2.35,8.2,10.6,5.0,4.10,9.1,13.2,4.4,2.80,7.2,10.0,5.8,0.95,6.8,7.7,304818,74851,226592,1213425,1999
New Jersey,1584,51426,53010,186727,39479,226205,265684,34415,18632,53047,71678,130670,33984,164654,198638,612593,60151,672744,732895,9.0,1.90,10.9,12.8,6.1,3.30,9.4,12.7,8.7,2.25,11.0,13.2,7.4,0.70,8.1,8.8,2082051,563827,1501412,8309078,1999
New Mexico,1355,32671,34025,119004,14190,133194,147383,31318,6178,37495,43673,79588,12745,92333,105078,306118,20106,326223,346329,23.6,2.80,26.4,29.2,24.0,4.70,28.7,33.4,21.6,3.45,25.0,28.5,17.1,1.10,18.2,19.3,504659,130588,369166,1793162,1999
New York,1139,41047,42186,899240,82307,981547,1063853,237218,36839,274057,310896,602700,72286,674986,747272,2439665,127271,2566936,2694207,19.3,1.75,21.0,22.8,19.3,3.00,22.3,25.3,17.9,2.15,20.1,22.2,13.1,0.65,13.7,14.4,4666361,1229416,3358785,18679270,1999
