STATE,PR_ALL,PR_YOUTH,MED_HH_INCOME,YEAR
Virginia,11.5,16.6,38510.0,1996
Washington,11.5,16.7,37847.0,1996
West Virginia,19.9,29.8,25760.0,1996
Wisconsin,8.7,12.2,38598.0,1996
Wyoming,11.1,14.3,31173.0,1996
Alabama,16.2,23.8,30790.0,1997
Alaska,11.2,16.2,43657.0,1997
Arizona,15.5,23.2,34751.0,1997
Arkansas,17.5,25.0,27875.0,1997
California,16.0,24.6,39595.0,1997
Colorado,10.2,14.6,40853.0,1997
Connecticut,8.9,14.7,46648.0,1997
Delaware,10.0,15.4,41315.0,1997
Florida,14.4,21.8,32877.0,1997
Georgia,14.7,22.8,36372.0,1997
Hawaii,11.1,16.2,43627.0,1997
Idaho,13.0,17.3,33612.0,1997
Illinois,11.3,17.5,41179.0,1997
Indiana,9.9,14.8,37909.0,1997
Iowa,9.9,13.7,35427.0,1997
Kansas,10.9,15.4,36488.0,1997
Kentucky,16.0,23.1,31730.0,1997
Louisiana,18.4,26.0,30466.0,1997
Maine,10.7,14.9,33140.0,1997
Maryland,9.5,14.9,45289.0,1997
Massachusetts,10.7,17.0,43015.0,1997
Michigan,11.5,18.0,38883.0,1997
Minnesota,8.9,13.1,41591.0,1997
Mississippi,18.1,24.5,28527.0,1997
Missouri,12.2,17.7,34502.0,1997
Montana,15.5,21.3,29672.0,1997
Nebraska,9.6,12.6,35337.0,1997
Nevada,10.7,15.4,39280.0,1997
New Hampshire,7.5,10.0,42023.0,1997
New Jersey,9.3,14.8,47903.0,1997
New Mexico,19.3,27.5,30836.0,1997
New York,15.6,24.7,36369.0,1997
North Carolina,12.6,18.6,35320.0,1997
North Dakota,12.5,16.8,31764.0,1997
Ohio,11.0,16.0,36029.0,1997
Oklahoma,16.3,23.7,30002.0,1997
Oregon,11.6,16.3,37284.0,1997
Pennsylvania,10.9,16.6,37267.0,1997
Rhode Island,11.2,17.3,36699.0,1997
South Carolina,14.9,23.0,33325.0,1997
South Dakota,14.0,19.0,31354.0,1997
Tennessee,13.6,18.9,32047.0,1997
Texas,16.7,23.6,34478.0,1997
Utah,10.0,12.5,38884.0,1997
Vermont,9.7,12.7,35210.0,1997
Virginia,11.6,17.0,40209.0,1997
Washington,10.2,15.2,41715.0,1997
West Virginia,16.8,24.7,27432.0,1997
Wisconsin,9.2,14.3,39800.0,1997
Wyoming,12.0,15.3,33197.0,1997
Alabama,15.7,23.4,33204.0,1998
Alaska,10.8,14.6,47177.0,1998
Arizona,14.9,22.6,37281.0,1998
Arkansas,16.4,23.5,29212.0,1998
California,14.9,22.8,41003.0,1998
Colorado,9.9,14.2,43402.0,1998
Connecticut,8.7,13.3,49846.0,1998
Delaware,9.7,15.0,42662.0,1998
Florida,13.6,21.9,34757.0,1998
Georgia,14.1,21.8,37826.0,1998
Hawaii,10.5,15.0,41627.0,1998
Idaho,12.6,17.4,35863.0,1998
Illinois,10.6,15.4,43141.0,1998
Indiana,10.0,14.1,39719.0,1998
Iowa,9.5,13.8,38159.0,1998
Kansas,10.5,14.4,38553.0,1998
Kentucky,15.3,21.2,33955.0,1998
Louisiana,18.2,25.7,30894.0,1998
Maine,10.3,14.2,35560.0,1998
Maryland,8.8,12.6,47492.0,1998
Massachusetts,9.0,14.3,44934.0,1998
Michigan,11.4,16.8,41963.0,1998
Minnesota,8.9,12.6,45311.0,1998
Mississippi,17.6,23.9,28925.0,1998
Missouri,11.7,16.8,37186.0,1998
Montana,15.7,21.9,31271.0,1998
Nebraska,10.3,13.8,37233.0,1998
Nevada,10.5,15.0,39867.0,1998
New Hampshire,7.5,10.6,45401.0,1998
New Jersey,8.8,13.2,49615.0,1998
New Mexico,19.0,27.1,31445.0,1998
New York,15.4,23.3,38290.0,1998
North Carolina,13.0,19.4,35982.0,1998
North Dakota,12.9,17.3,32430.0,1998
Ohio,10.7,16.4,38726.0,1998
Oklahoma,16.1,23.2,32373.0,1998
Oregon,12.1,16.9,38773.0,1998
Pennsylvania,10.7,16.5,39116.0,1998
Rhode Island,10.6,16.3,39907.0,1998
South Carolina,14.3,21.5,33465.0,1998
South Dakota,13.0,17.6,33267.0,1998
Tennessee,13.1,18.5,34188.0,1998
Texas,15.6,22.4,35449.0,1998
Utah,10.0,12.7,41380.0,1998
Vermont,9.6,12.6,37947.0,1998
Virginia,10.2,14.2,42622.0,1998
Washington,9.9,13.7,44307.0,1998
West Virginia,16.8,24.2,28460.0,1998
Wisconsin,8.9,13.6,42169.0,1998
Wyoming,11.4,15.4,35868.0,1998
Alabama,15.3,22.2,33840.0,1999
Alaska,8.8,11.2,49133.0,1999
Arizona,12.8,18.8,38642.0,1999
Arkansas,15.1,21.8,31217.0,1999
California,13.7,20.2,43924.0,1999
Colorado,8.9,12.0,45557.0,1999
Connecticut,7.5,10.2,51706.0,1999
Delaware,9.4,14.0,45201.0,1999
Florida,12.4,18.5,36309.0,1999
Georgia,12.7,18.3,39910.0,1999
Hawaii,10.5,14.5,44755.0,1999
Idaho,12.1,16.8,36656.0,1999
Illinois,10.1,15.0,45214.0,1999
Indiana,8.7,11.6,40654.0,1999
Iowa,8.5,11.0,39537.0,1999
Kansas,10.2,14.3,39726.0,1999
Kentucky,14.3,20.2,33732.0,1999
Louisiana,18.3,26.4,31904.0,1999
Maine,10.6,14.8,36902.0,1999
Maryland,8.0,10.1,49781.0,1999
Massachusetts,9.7,15.0,47604.0,1999
Michigan,9.9,14.2,44221.0,1999
Minnesota,7.5,9.3,46153.0,1999
Mississippi,18.2,26.1,30739.0,1999
Missouri,11.4,16.7,37885.0,1999
Montana,14.3,20.2,32098.0,1999
Nebraska,9.7,12.5,38668.0,1999
Nevada,10.2,15.3,41939.0,1999
New Hampshire,6.8,8.2,47284.0,1999
New Jersey,8.1,10.9,51426.0,1999
New Mexico,18.2,26.4,32671.0,1999
New York,13.7,21.0,41047.0,1999
North Carolina,12.3,17.3,37563.0,1999
North Dakota,11.6,15.6,34206.0,1999
Ohio,11.0,16.0,39707.0,1999
Oklahoma,13.9,19.7,33005.0,1999
Oregon,11.3,15.7,40033.0,1999
Pennsylvania,10.0,14.0,38918.0,1999
Rhode Island,10.8,16.2,40965.0,1999
South Carolina,13.2,19.2,35515.0,1999
South Dakota,11.7,15.4,35007.0,1999
Tennessee,12.8,18.1,35624.0,1999
Texas,15.1,21.8,38092.0,1999
Utah,8.5,10.0,43778.0,1999
Vermont,9.3,12.3,39571.0,1999
Virginia,9.0,12.4,44848.0,1999
Washington,9.9,13.1,44742.0,1999
West Virginia,16.3,23.8,30108.0,1999
Wisconsin,8.4,10.9,43301.0,1999
Wyoming,11.2,15.1,37480.0,1999
Alabama,14.6,20.5,34923.0,2000
Alaska,8.5,11.5,51433.0,2000
Arizona,12.5,18.7,40437.0,2000
Arkansas,15.0,21.8,31496.0,2000
California,12.7,18.5,46836.0,2000
Colorado,8.9,12.2,47505.0,2000
Connecticut,7.3,10.1,52758.0,2000
Delaware,8.7,12.6,47812.0,2000
Florida,11.7,17.7,38784.0,2000
Georgia,12.3,17.5,42057.0,2000
Hawaii,9.9,14.3,49005.0,2000
Idaho,11.2,15.2,37929.0,2000
Illinois,10.0,14.6,46327.0,2000
Indiana,8.8,12.1,41511.0,2000
Iowa,8.3,10.8,40443.0,2000
Kansas,8.9,11.9,41150.0,2000
Kentucky,13.9,19.3,35150.0,2000
Louisiana,17.3,24.4,32124.0,2000
Maine,9.9,12.9,37589.0,2000
Maryland,7.9,10.7,52740.0,2000
Massachusetts,8.4,11.5,49266.0,2000
Michigan,9.7,13.7,45202.0,2000
Minnesota,6.9,8.7,49170.0,2000
Mississippi,17.6,24.9,32542.0,2000
Missouri,10.6,14.8,40411.0,2000
Montana,13.3,18.8,33281.0,2000
Nebraska,8.9,11.9,40429.0,2000
Nevada,9.4,13.6,44698.0,2000
New Hampshire,5.6,6.9,49830.0,2000
New Jersey,7.8,10.5,52990.0,2000
New Mexico,17.3,25.5,34487.0,2000
New York,13.2,19.1,41763.0,2000
North Carolina,11.7,16.5,38889.0,2000
North Dakota,10.4,13.1,35636.0,2000
Ohio,9.8,14.1,42054.0,2000
Oklahoma,13.8,20.0,33417.0,2000
Oregon,10.6,15.1,41662.0,2000
Pennsylvania,9.5,13.1,41419.0,2000
Rhode Island,10.2,15.0,42305.0,2000
South Carolina,12.8,18.2,37283.0,2000
South Dakota,11.4,15.1,36146.0,2000
Tennessee,12.6,17.8,35760.0,2000
Texas,14.6,20.7,39090.0,2000
Utah,8.8,11.1,45934.0,2000
Vermont,8.8,11.6,40537.0,2000
Virginia,8.9,12.2,46789.0,2000
Washington,9.6,13.2,44846.0,2000
West Virginia,15.5,21.9,30187.0,2000
Wisconsin,8.1,11.0,44503.0,2000
Wyoming,10.4,13.9,38934.0,2000
Alabama,15.7,22.1,34761.0,2001
Alaska,8.7,11.5,52332.0,2001
Arizona,13.2,19.0,41403.0,2001
Arkansas,15.9,23.7,32864.0,2001
California,12.9,17.6,47064.0,2001
Colorado,8.7,11.1,48483.0,2001
Connecticut,7.1,9.3,55060.0,2001
Delaware,8.4,11.6,47876.0,2001
Florida,12.6,18.8,37319.0,2001
Georgia,12.7,18.3,42006.0,2001
Hawaii,10.4,14.8,46535.0,2001
Idaho,11.5,15.2,38459.0,2001
Illinois,10.1,14.6,46991.0,2001
Indiana,9.0,12.2,42073.0,2001
Iowa,8.2,9.8,41216.0,2001
Kansas,9.5,12.7,42081.0,2001
Kentucky,14.7,19.8,35977.0,2001
Louisiana,18.3,25.6,32959.0,2001
Maine,10.2,12.8,38036.0,2001
Maryland,7.7,9.4,53090.0,2001
Massachusetts,8.2,10.6,52092.0,2001
Michigan,9.8,13.4,45688.0,2001
Minnesota,7.2,8.7,49619.0,2001
Mississippi,19.0,26.6,30877.0,2001
Missouri,11.0,15.1,39652.0,2001
Montana,14.0,19.0,33151.0,2001
Nebraska,9.3,12.6,41091.0,2001
Nevada,9.3,12.5,44325.0,2001
New Hampshire,6.0,7.2,50898.0,2001
New Jersey,7.8,10.1,54506.0,2001
New Mexico,18.0,25.9,33733.0,2001
New York,13.7,19.5,43149.0,2001
North Carolina,11.9,16.4,39072.0,2001
North Dakota,11.4,14.5,36177.0,2001
Ohio,10.3,14.8,41780.0,2001
Oklahoma,14.4,20.6,34912.0,2001
Oregon,11.1,15.1,41752.0,2001
Pennsylvania,10.0,13.8,42288.0,2001
Rhode Island,10.2,13.5,43884.0,2001
South Carolina,13.8,20.0,36953.0,2001
South Dakota,11.7,14.6,37096.0,2001
Tennessee,13.2,18.7,36629.0,2001
Texas,15.0,21.2,40152.0,2001
Utah,9.4,11.3,45914.0,2001
Vermont,8.9,11.3,41342.0,2001
Virginia,8.8,11.2,48130.0,2001
Washington,9.9,13.0,46284.0,2001
West Virginia,16.7,23.2,31156.0,2001
Wisconsin,8.1,11.1,45435.0,2001
Wyoming,10.5,13.4,39988.0,2001
Alabama,15.4,21.6,35943.0,2002
Alaska,9.3,11.7,51844.0,2002
Arizona,13.6,20.1,40724.0,2002
Arkansas,16.3,23.3,32819.0,2002
California,13.3,19.2,47323.0,2002
Colorado,9.5,11.8,48060.0,2002
Connecticut,7.8,10.1,54543.0,2002
Delaware,9.3,12.4,48096.0,2002
Florida,12.8,17.7,38226.0,2002
Georgia,13.0,17.8,42359.0,2002
Hawaii,11.0,14.3,47424.0,2002
Idaho,11.7,14.9,38242.0,2002
Illinois,11.3,15.3,44946.0,2002
Indiana,9.6,11.9,41973.0,2002
Iowa,9.1,10.9,41052.0,2002
Kansas,10.0,12.1,42104.0,2002
Kentucky,14.8,21.1,35875.0,2002
Louisiana,18.1,26.6,33536.0,2002
Maine,11.0,14.2,37963.0,2002
Maryland,8.3,10.1,53866.0,2002
Massachusetts,9.0,11.6,51085.0,2002
Michigan,10.9,14.2,44315.0,2002
Minnesota,7.5,8.8,50157.0,2002
Mississippi,18.9,27.2,31434.0,2002
Missouri,11.3,15.7,40309.0,2002
Montana,14.0,19.2,34105.0,2002
Nebraska,10.0,12.3,41130.0,2002
Nevada,10.1,14.1,44560.0,2002
New Hampshire,6.3,6.6,51550.0,2002
