,COUNTY_FULL,STATE_NAME,YEAR,UE_RATE
187,BENTON COUNTY,Minnesota,2020,6.7
188,KOOCHICHING COUNTY,Minnesota,2020,7.5
189,BLUE EARTH COUNTY,Minnesota,2020,5.4
190,BELTRAMI COUNTY,Minnesota,2020,6.4
191,CARVER COUNTY,Minnesota,2020,5.2
192,BROWN COUNTY,Minnesota,2020,5.2
193,HENNEPIN COUNTY,Minnesota,2020,6.6
194,AITKIN COUNTY,Minnesota,2020,8.3
195,GRANT COUNTY,Minnesota,2020,5.4
196,KANABEC COUNTY,Minnesota,2020,8.2
197,LYON COUNTY,Minnesota,2020,4.5
198,FILLMORE COUNTY,Minnesota,2020,5.2
199,CROW WING COUNTY,Minnesota,2020,7.3
200,DODGE COUNTY,Minnesota,2020,5.5
201,LAKE OF THE WOODS COUNTY,Minnesota,2020,6.2
202,CHISAGO COUNTY,Minnesota,2020,6.7
203,ITASCA COUNTY,Minnesota,2020,8.6
204,CLEARWATER COUNTY,Minnesota,2020,9.8
205,JACKSON COUNTY,Minnesota,2020,5.3
206,FARIBAULT COUNTY,Minnesota,2020,6.2
207,DAKOTA COUNTY,Minnesota,2020,6.3
208,CHIPPEWA COUNTY,Minnesota,2020,5.2
209,CLAY COUNTY,Minnesota,2020,4.4
210,LE SUEUR COUNTY,Minnesota,2020,6.9
211,HUBBARD COUNTY,Minnesota,2020,7.1
212,FREEBORN COUNTY,Minnesota,2020,5.7
213,LAKE COUNTY,Minnesota,2020,7.3
214,HOUSTON COUNTY,Minnesota,2020,4.4
215,GOODHUE COUNTY,Minnesota,2020,5.9
216,KANDIYOHI COUNTY,Minnesota,2020,4.9
217,ANOKA COUNTY,Minnesota,2020,6.4
219,RED LAKE COUNTY,Minnesota,2020,5.3
220,NORMAN COUNTY,Minnesota,2020,4.8
221,MARTIN COUNTY,Minnesota,2020,3.8
222,SWIFT COUNTY,Minnesota,2020,4.4
223,PENNINGTON COUNTY,Minnesota,2020,4.6
224,OTTER TAIL COUNTY,Minnesota,2020,4.2
225,SHERBURNE COUNTY,Minnesota,2020,3.5
226,STEARNS COUNTY,Minnesota,2020,3.2
227,MAHNOMEN COUNTY,Minnesota,2020,4.8
228,PINE COUNTY,Minnesota,2020,5.6
229,ROCK COUNTY,Minnesota,2020,2.3
230,MEEKER COUNTY,Minnesota,2020,3.9
231,TRAVERSE COUNTY,Minnesota,2020,3.7
232,MURRAY COUNTY,Minnesota,2020,4.3
233,MORRISON COUNTY,Minnesota,2020,5.2
234,STEELE COUNTY,Minnesota,2020,3.2
235,WASECA COUNTY,Minnesota,2020,3.9
236,SAINT LOUIS COUNTY,Minnesota,2020,4.0
237,RICE COUNTY,Minnesota,2020,3.1
238,WATONWAN COUNTY,Minnesota,2020,4.1
239,YELLOW MEDICINE COUNTY,Minnesota,2020,3.8
240,REDWOOD COUNTY,Minnesota,2020,3.7
241,STEVENS COUNTY,Minnesota,2020,2.7
242,NOBLES COUNTY,Minnesota,2020,3.0
243,TODD COUNTY,Minnesota,2020,4.4
244,PIPESTONE COUNTY,Minnesota,2020,3.5
245,WINONA COUNTY,Minnesota,2020,2.9
246,NICOLLET COUNTY,Minnesota,2020,2.6
247,WILKIN COUNTY,Minnesota,2020,3.4
248,WADENA COUNTY,Minnesota,2020,6.2
249,MCLEOD COUNTY,Minnesota,2020,3.7
250,MARSHALL COUNTY,Minnesota,2020,5.9
251,WRIGHT COUNTY,Minnesota,2020,3.3
252,MOWER COUNTY,Minnesota,2020,3.0
253,WABASHA COUNTY,Minnesota,2020,3.4
254,POLK COUNTY,Minnesota,2020,4.0
255,RAMSEY COUNTY,Minnesota,2020,3.0
256,ROSEAU COUNTY,Minnesota,2020,3.9
257,POPE COUNTY,Minnesota,2020,3.1
258,MILLE LACS COUNTY,Minnesota,2020,5.5
259,WASHINGTON COUNTY,Minnesota,2020,2.8
260,RENVILLE COUNTY,Minnesota,2020,4.6
261,SCOTT COUNTY,Minnesota,2020,2.8
262,OLMSTED COUNTY,Minnesota,2020,2.6
263,SIBLEY COUNTY,Minnesota,2020,3.9
264,BECKER COUNTY,Minnesota,2019,4.0
265,CARLTON COUNTY,Minnesota,2019,4.5
266,LAC QUI PARLE COUNTY,Minnesota,2019,3.8
267,DOUGLAS COUNTY,Minnesota,2019,3.2
268,COOK COUNTY,Minnesota,2019,4.3
269,ISANTI COUNTY,Minnesota,2019,4.1
270,BIG STONE COUNTY,Minnesota,2019,4.2
271,KITTSON COUNTY,Minnesota,2019,3.7
272,CASS COUNTY,Minnesota,2019,5.6
273,LINCOLN COUNTY,Minnesota,2019,3.8
274,COTTONWOOD COUNTY,Minnesota,2019,3.7
275,BENTON COUNTY,Minnesota,2019,3.9
276,KOOCHICHING COUNTY,Minnesota,2019,6.3
277,BLUE EARTH COUNTY,Minnesota,2019,2.8
278,BELTRAMI COUNTY,Minnesota,2019,4.3
279,CARVER COUNTY,Minnesota,2019,2.8
280,BROWN COUNTY,Minnesota,2019,3.6
281,HENNEPIN COUNTY,Minnesota,2019,2.8
282,AITKIN COUNTY,Minnesota,2019,6.2
283,GRANT COUNTY,Minnesota,2019,4.5
284,KANABEC COUNTY,Minnesota,2019,5.9
285,LYON COUNTY,Minnesota,2019,3.2
286,FILLMORE COUNTY,Minnesota,2019,3.3
287,CROW WING COUNTY,Minnesota,2019,4.4
288,DODGE COUNTY,Minnesota,2019,3.4
289,LAKE OF THE WOODS COUNTY,Minnesota,2019,4.2
290,CHISAGO COUNTY,Minnesota,2019,3.8
291,ITASCA COUNTY,Minnesota,2019,6.0
292,CLEARWATER COUNTY,Minnesota,2019,8.3
293,JACKSON COUNTY,Minnesota,2019,3.5
294,FARIBAULT COUNTY,Minnesota,2019,4.2
295,DAKOTA COUNTY,Minnesota,2019,2.9
296,CHIPPEWA COUNTY,Minnesota,2019,3.9
297,CLAY COUNTY,Minnesota,2019,3.1
298,LE SUEUR COUNTY,Minnesota,2019,4.5
299,HUBBARD COUNTY,Minnesota,2019,5.4
300,FREEBORN COUNTY,Minnesota,2019,3.5
301,LAKE COUNTY,Minnesota,2019,3.6
302,HOUSTON COUNTY,Minnesota,2019,3.2
303,GOODHUE COUNTY,Minnesota,2019,3.1
304,KANDIYOHI COUNTY,Minnesota,2019,3.5
305,ANOKA COUNTY,Minnesota,2019,3.1
307,RED LAKE COUNTY,Minnesota,2019,5.3
308,NORMAN COUNTY,Minnesota,2019,4.4
309,MARTIN COUNTY,Minnesota,2019,3.2
310,SWIFT COUNTY,Minnesota,2019,3.7
311,PENNINGTON COUNTY,Minnesota,2019,4.3
312,OTTER TAIL COUNTY,Minnesota,2019,3.7
313,SHERBURNE COUNTY,Minnesota,2019,3.2
314,STEARNS COUNTY,Minnesota,2019,3.0
315,MAHNOMEN COUNTY,Minnesota,2019,4.7
316,PINE COUNTY,Minnesota,2019,5.0
