,COUNTY_FULL,STATE_NAME,YEAR,UE_RATE
292,Clearwater County               ,Minnesota,2019,8.3
293,Jackson County                  ,Minnesota,2019,3.5
294,Faribault County                ,Minnesota,2019,4.2
295,Dakota County                   ,Minnesota,2019,2.9
296,Chippewa County                 ,Minnesota,2019,3.9
297,Clay County                     ,Minnesota,2019,3.1
298,Le Sueur County                 ,Minnesota,2019,4.5
299,Hubbard County                  ,Minnesota,2019,5.4
300,Freeborn County                 ,Minnesota,2019,3.5
301,Lake County                     ,Minnesota,2019,3.6
302,Houston County                  ,Minnesota,2019,3.2
303,Goodhue County                  ,Minnesota,2019,3.1
304,Kandiyohi County                ,Minnesota,2019,3.5
305,Anoka County                    ,Minnesota,2019,3.1
307,Red Lake County                 ,Minnesota,2019,5.3
308,Norman County                   ,Minnesota,2019,4.4
309,Martin County                   ,Minnesota,2019,3.2
310,Swift County                    ,Minnesota,2019,3.7
311,Pennington County               ,Minnesota,2019,4.3
312,Otter Tail County               ,Minnesota,2019,3.7
313,Sherburne County                ,Minnesota,2019,3.2
314,Stearns County                  ,Minnesota,2019,3.0
315,Mahnomen County                 ,Minnesota,2019,4.7
316,Pine County                     ,Minnesota,2019,5.0
317,Rock County                     ,Minnesota,2019,2.4
318,Meeker County                   ,Minnesota,2019,3.6
319,Traverse County                 ,Minnesota,2019,3.3
320,Murray County                   ,Minnesota,2019,3.8
321,Morrison County                 ,Minnesota,2019,4.8
322,Steele County                   ,Minnesota,2019,3.1
323,Waseca County                   ,Minnesota,2019,4.2
324,Saint Louis County              ,Minnesota,2019,3.8
325,Rice County                     ,Minnesota,2019,2.9
326,Watonwan County                 ,Minnesota,2019,3.6
327,Yellow Medicine County          ,Minnesota,2019,3.1
328,Redwood County                  ,Minnesota,2019,3.7
329,Stevens County                  ,Minnesota,2019,2.4
330,Nobles County                   ,Minnesota,2019,2.7
331,Todd County                     ,Minnesota,2019,4.0
332,Pipestone County                ,Minnesota,2019,3.0
333,Winona County                   ,Minnesota,2019,2.7
334,Nicollet County                 ,Minnesota,2019,2.3
335,Wilkin County                   ,Minnesota,2019,3.1
336,Wadena County                   ,Minnesota,2019,5.4
337,McLeod County                   ,Minnesota,2019,3.2
338,Marshall County                 ,Minnesota,2019,6.0
339,Wright County                   ,Minnesota,2019,3.1
340,Mower County                    ,Minnesota,2019,2.8
341,Wabasha County                  ,Minnesota,2019,3.1
342,Polk County                     ,Minnesota,2019,3.8
343,Ramsey County                   ,Minnesota,2019,2.8
344,Roseau County                   ,Minnesota,2019,3.5
345,Pope County                     ,Minnesota,2019,2.7
346,Mille Lacs County               ,Minnesota,2019,5.0
347,Washington County               ,Minnesota,2019,2.6
348,Renville County                 ,Minnesota,2019,4.1
349,Scott County                    ,Minnesota,2019,2.6
350,Olmsted County,Minnesota,2019,2.4
351,Sibley County                   ,Minnesota,2019,3.3
352,Becker County                   ,Minnesota,2018,3.7
353,Carlton County                  ,Minnesota,2018,4.2
354,Lac qui Parle County            ,Minnesota,2018,3.7
355,Douglas County                  ,Minnesota,2018,2.9
356,Cook County                     ,Minnesota,2018,3.5
357,Isanti County                   ,Minnesota,2018,3.8
358,Big Stone County                ,Minnesota,2018,3.9
359,Kittson County                  ,Minnesota,2018,3.0
360,Cass County                     ,Minnesota,2018,5.3
361,Lincoln County                  ,Minnesota,2018,3.1
362,Cottonwood County               ,Minnesota,2018,3.7
363,Benton County                   ,Minnesota,2018,3.6
364,Koochiching County              ,Minnesota,2018,6.3
365,Blue Earth County               ,Minnesota,2018,2.6
366,Beltrami County                 ,Minnesota,2018,4.2
367,Carver County                   ,Minnesota,2018,2.5
368,Brown County                    ,Minnesota,2018,3.5
369,Hennepin County                 ,Minnesota,2018,2.6
370,Aitkin County                   ,Minnesota,2018,5.8
371,Grant County                    ,Minnesota,2018,4.1
372,Kanabec County                  ,Minnesota,2018,5.6
373,Lyon County                     ,Minnesota,2018,2.9
374,Fillmore County                 ,Minnesota,2018,3.2
375,Crow Wing County                ,Minnesota,2018,4.1
376,Dodge County                    ,Minnesota,2018,3.1
377,Lake of the Woods County        ,Minnesota,2018,3.9
378,Chisago County                  ,Minnesota,2018,3.5
379,Itasca County                   ,Minnesota,2018,5.6
380,Clearwater County               ,Minnesota,2018,8.3
381,Jackson County                  ,Minnesota,2018,3.0
382,Faribault County                ,Minnesota,2018,3.6
383,Dakota County                   ,Minnesota,2018,2.6
384,Chippewa County                 ,Minnesota,2018,3.3
385,Clay County                     ,Minnesota,2018,3.0
386,Le Sueur County                 ,Minnesota,2018,4.2
387,Hubbard County                  ,Minnesota,2018,5.1
388,Freeborn County                 ,Minnesota,2018,3.3
389,Lake County                     ,Minnesota,2018,3.2
390,Houston County                  ,Minnesota,2018,3.0
391,Goodhue County                  ,Minnesota,2018,2.8
392,Kandiyohi County                ,Minnesota,2018,3.0
393,Anoka County                    ,Minnesota,2018,2.9
395,Red Lake County                 ,Minnesota,2018,6.7
396,Norman County                   ,Minnesota,2018,4.7
397,Martin County                   ,Minnesota,2018,3.5
398,Swift County                    ,Minnesota,2018,4.1
399,Pennington County               ,Minnesota,2018,5.7
400,Otter Tail County               ,Minnesota,2018,4.0
401,Sherburne County                ,Minnesota,2018,3.8
402,Stearns County                  ,Minnesota,2018,3.4
403,Mahnomen County                 ,Minnesota,2018,5.1
404,Pine County                     ,Minnesota,2018,5.8
405,Rock County                     ,Minnesota,2018,2.1
406,Meeker County                   ,Minnesota,2018,4.1
407,Traverse County                 ,Minnesota,2018,3.6
408,Murray County                   ,Minnesota,2018,4.4
409,Morrison County                 ,Minnesota,2018,5.4
410,Steele County                   ,Minnesota,2018,3.4
411,Waseca County                   ,Minnesota,2018,3.9
412,Saint Louis County              ,Minnesota,2018,4.7
413,Rice County                     ,Minnesota,2018,3.2
414,Watonwan County                 ,Minnesota,2018,4.4
415,Yellow Medicine County          ,Minnesota,2018,3.5
416,Redwood County                  ,Minnesota,2018,4.1
417,Stevens County                  ,Minnesota,2018,2.7
418,Nobles County                   ,Minnesota,2018,3.2
419,Todd County                     ,Minnesota,2018,4.0
420,Pipestone County                ,Minnesota,2018,3.4
421,Winona County                   ,Minnesota,2018,3.1
422,Nicollet County                 ,Minnesota,2018,2.6
423,Wilkin County                   ,Minnesota,2018,3.1
424,Wadena County                   ,Minnesota,2018,5.6
425,McLeod County                   ,Minnesota,2018,3.8
426,Marshall County                 ,Minnesota,2018,7.0
427,Wright County                   ,Minnesota,2018,3.6
428,Mower County                    ,Minnesota,2018,2.8
429,Wabasha County                  ,Minnesota,2018,3.4
430,Polk County                     ,Minnesota,2018,4.2
431,Ramsey County                   ,Minnesota,2018,3.3
432,Roseau County                   ,Minnesota,2018,4.9
433,Pope County                     ,Minnesota,2018,3.1
434,Mille Lacs County               ,Minnesota,2018,5.6
435,Washington County               ,Minnesota,2018,3.0
436,Renville County                 ,Minnesota,2018,4.5
437,Scott County                    ,Minnesota,2018,2.9
438,Olmsted County,Minnesota,2018,2.7
439,Sibley County                   ,Minnesota,2018,3.6
440,Becker County                   ,Minnesota,2017,4.2
441,Carlton County                  ,Minnesota,2017,4.8
442,Lac qui Parle County            ,Minnesota,2017,3.5
443,Douglas County                  ,Minnesota,2017,3.2
444,Cook County                     ,Minnesota,2017,3.9
445,Isanti County                   ,Minnesota,2017,4.4
446,Big Stone County                ,Minnesota,2017,4.5
447,Kittson County                  ,Minnesota,2017,3.7
448,Cass County                     ,Minnesota,2017,6.0
449,Lincoln County                  ,Minnesota,2017,3.2
450,Cottonwood County               ,Minnesota,2017,5.3
451,Benton County                   ,Minnesota,2017,4.1
452,Koochiching County              ,Minnesota,2017,7.2
453,Blue Earth County               ,Minnesota,2017,2.9
454,Beltrami County                 ,Minnesota,2017,4.9
455,Carver County                   ,Minnesota,2017,3.0
456,Brown County                    ,Minnesota,2017,3.7
457,Hennepin County                 ,Minnesota,2017,3.1
458,Aitkin County                   ,Minnesota,2017,6.3
459,Grant County                    ,Minnesota,2017,4.1
460,Kanabec County                  ,Minnesota,2017,6.1
461,Lyon County                     ,Minnesota,2017,3.2
462,Fillmore County                 ,Minnesota,2017,3.5
463,Crow Wing County                ,Minnesota,2017,4.5
464,Dodge County                    ,Minnesota,2017,3.4
465,Lake of the Woods County        ,Minnesota,2017,4.7
466,Chisago County                  ,Minnesota,2017,4.0
467,Itasca County                   ,Minnesota,2017,7.0
468,Clearwater County               ,Minnesota,2017,8.9
469,Jackson County                  ,Minnesota,2017,3.7
470,Faribault County                ,Minnesota,2017,4.2
471,Dakota County                   ,Minnesota,2017,3.1
472,Chippewa County                 ,Minnesota,2017,4.0
473,Clay County                     ,Minnesota,2017,3.2
474,Le Sueur County                 ,Minnesota,2017,4.7
475,Hubbard County                  ,Minnesota,2017,5.7
476,Freeborn County                 ,Minnesota,2017,3.7
477,Lake County                     ,Minnesota,2017,3.9
478,Houston County                  ,Minnesota,2017,3.5
479,Goodhue County                  ,Minnesota,2017,3.3
480,Kandiyohi County                ,Minnesota,2017,3.3
481,Anoka County                    ,Minnesota,2017,3.4
483,Red Lake County                 ,Minnesota,2017,7.3
484,Norman County                   ,Minnesota,2017,4.8
485,Martin County                   ,Minnesota,2017,4.1
486,Swift County                    ,Minnesota,2017,5.4
487,Pennington County               ,Minnesota,2017,5.8
488,Otter Tail County               ,Minnesota,2017,4.4
489,Sherburne County                ,Minnesota,2017,4.1
490,Stearns County                  ,Minnesota,2017,3.8
491,Mahnomen County                 ,Minnesota,2017,5.8
492,Pine County                     ,Minnesota,2017,5.8
493,Rock County                     ,Minnesota,2017,2.3
494,Meeker County                   ,Minnesota,2017,4.5
495,Traverse County                 ,Minnesota,2017,3.9
496,Murray County                   ,Minnesota,2017,4.7
497,Morrison County                 ,Minnesota,2017,5.6
498,Steele County                   ,Minnesota,2017,3.6
499,Waseca County                   ,Minnesota,2017,4.3
500,Saint Louis County              ,Minnesota,2017,5.7
501,Rice County                     ,Minnesota,2017,3.5
