STATE,PR_ALL,PR_YOUTH,MED_HH_INCOME,YEAR
Hawaii,10.9,12.9,85547.0,2021
Idaho,10.8,12.5,66318.0,2021
Illinois,12.1,15.9,72215.0,2021
Indiana,12.1,15.7,62723.0,2021
Iowa,11.0,12.4,65645.0,2021
Kansas,11.6,13.5,64128.0,2021
Kentucky,16.3,21.2,55532.0,2021
Louisiana,19.5,26.9,52090.0,2021
Maine,11.2,13.8,64823.0,2021
Maryland,10.3,14.0,90129.0,2021
Massachusetts,10.4,12.8,89577.0,2021
Michigan,13.0,17.6,63444.0,2021
Minnesota,9.3,10.8,77712.0,2021
Mississippi,19.2,27.1,48871.0,2021
Missouri,12.8,16.5,61815.0,2021
Montana,12.0,14.9,63357.0,2021
Nebraska,10.5,12.1,66949.0,2021
Nevada,14.0,18.8,66194.0,2021
New Hampshire,7.4,9.3,88268.0,2021
New Jersey,10.2,13.9,89227.0,2021
New Mexico,17.7,23.1,54304.0,2021
New York,14.0,18.8,74230.0,2021
North Carolina,13.5,18.2,61997.0,2021
North Dakota,10.9,11.5,67603.0,2021
Ohio,13.3,18.2,62286.0,2021
Oklahoma,15.4,20.5,55829.0,2021
Oregon,12.2,13.8,71441.0,2021
Pennsylvania,12.0,16.3,68931.0,2021
Rhode Island,12.1,17.0,73324.0,2021
South Carolina,14.5,19.7,59447.0,2021
South Dakota,11.9,14.4,66843.0,2021
Tennessee,13.7,18.4,59698.0,2021
Texas,14.2,19.5,66959.0,2021
Utah,8.7,8.5,79449.0,2021
Vermont,10.2,11.2,72415.0,2021
Virginia,10.3,13.3,80926.0,2021
Washington,9.9,12.0,84155.0,2021
West Virginia,16.8,21.4,51122.0,2021
Wisconsin,10.8,13.6,67150.0,2021
Wyoming,10.6,12.1,66508.0,2021
