COUNTY_FULL,STATE_NAME,YEAR,UE_RATE
Isanti County                   ,Minnesota,2020,6.8
Big Stone County                ,Minnesota,2020,4.8
Kittson County                  ,Minnesota,2020,4.7
Cass County                     ,Minnesota,2020,9.2
Lincoln County                  ,Minnesota,2020,4.5
Cottonwood County               ,Minnesota,2020,4.8
Benton County                   ,Minnesota,2020,6.7
Koochiching County              ,Minnesota,2020,7.5
Blue Earth County               ,Minnesota,2020,5.4
Beltrami County                 ,Minnesota,2020,6.4
Carver County                   ,Minnesota,2020,5.2
Brown County                    ,Minnesota,2020,5.2
Hennepin County                 ,Minnesota,2020,6.6
Aitkin County                   ,Minnesota,2020,8.3
Grant County                    ,Minnesota,2020,5.4
Kanabec County                  ,Minnesota,2020,8.2
Lyon County                     ,Minnesota,2020,4.5
Fillmore County                 ,Minnesota,2020,5.2
Crow Wing County                ,Minnesota,2020,7.3
Dodge County                    ,Minnesota,2020,5.5
Lake of the Woods County        ,Minnesota,2020,6.2
Chisago County                  ,Minnesota,2020,6.7
Itasca County                   ,Minnesota,2020,8.6
Clearwater County               ,Minnesota,2020,9.8
Jackson County                  ,Minnesota,2020,5.3
Faribault County                ,Minnesota,2020,6.2
Dakota County                   ,Minnesota,2020,6.3
Chippewa County                 ,Minnesota,2020,5.2
Clay County                     ,Minnesota,2020,4.4
Le Sueur County                 ,Minnesota,2020,6.9
Hubbard County                  ,Minnesota,2020,7.1
Freeborn County                 ,Minnesota,2020,5.7
Lake County                     ,Minnesota,2020,7.3
Houston County                  ,Minnesota,2020,4.4
Goodhue County                  ,Minnesota,2020,5.9
Kandiyohi County                ,Minnesota,2020,4.9
Anoka County                    ,Minnesota,2020,6.4
Red Lake County                 ,Minnesota,2020,5.3
Norman County                   ,Minnesota,2020,4.8
Martin County                   ,Minnesota,2020,3.8
Swift County                    ,Minnesota,2020,4.4
Pennington County               ,Minnesota,2020,4.6
Otter Tail County               ,Minnesota,2020,4.2
Sherburne County                ,Minnesota,2020,3.5
Stearns County                  ,Minnesota,2020,3.2
Mahnomen County                 ,Minnesota,2020,4.8
Pine County                     ,Minnesota,2020,5.6
Rock County                     ,Minnesota,2020,2.3
Meeker County                   ,Minnesota,2020,3.9
Traverse County                 ,Minnesota,2020,3.7
Murray County                   ,Minnesota,2020,4.3
Morrison County                 ,Minnesota,2020,5.2
Steele County                   ,Minnesota,2020,3.2
Waseca County                   ,Minnesota,2020,3.9
