STATE,SAEMHI_MOE,SAEMHI_PT,SAEMHI_UB90,SAEPOV0_17_LB90,SAEPOV0_17_MOE,SAEPOV0_17_PT,SAEPOV0_17_UB90,SAEPOV0_4_LB90,SAEPOV0_4_MOE,SAEPOV0_4_PT,SAEPOV0_4_UB90,SAEPOV5_17R_LB90,SAEPOV5_17R_MOE,SAEPOV5_17R_PT,SAEPOV5_17R_UB90,SAEPOVALL_LB90,SAEPOVALL_MOE,SAEPOVALL_PT,SAEPOVALL_UB90,SAEPOVRT0_17_LB90,SAEPOVRT0_17_MOE,SAEPOVRT0_17_PT,SAEPOVRT0_17_UB90,SAEPOVRT0_4_LB90,SAEPOVRT0_4_MOE,SAEPOVRT0_4_PT,SAEPOVRT0_4_UB90,SAEPOVRT5_17R_LB90,SAEPOVRT5_17R_MOE,SAEPOVRT5_17R_PT,SAEPOVRT5_17R_UB90,SAEPOVRTALL_LB90,SAEPOVRTALL_MOE,SAEPOVRTALL_PT,SAEPOVRTALL_UB90,SAEPOVU_0_17,SAEPOVU_0_4,SAEPOVU_5_17R,SAEPOVU_ALL,YEAR
Mississippi,1673.0,28925.0,30598.0,163118.0,20892.0,184010.0,204902.0,50334.0,10057.0,60390.0,70447.0,100912.0,18119.0,119031.0,137150.0,451681.0,31654.0,483335.0,514989.0,21.2,2.7,23.9,26.6,24.4,4.9,29.3,34.2,18.1,3.2,21.3,24.5,16.4,1.15,17.6,18.7,770438.0,206130.0,558915.0,2751183.0,1998
Missouri,2001.0,37186.0,39187.0,209279.0,32759.0,242037.0,274796.0,61011.0,14616.0,75627.0,90243.0,128138.0,29089.0,157227.0,186316.0,582436.0,51069.0,633505.0,684573.0,14.5,2.3,16.8,19.1,16.3,3.9,20.2,24.1,12.2,2.8,15.0,17.8,10.7,0.95,11.7,12.6,1438868.0,374680.0,1048600.0,5432071.0,1998
Montana,1637.0,31271.0,32907.0,44578.0,5499.0,50077.0,55576.0,12713.0,2371.0,15083.0,17454.0,28269.0,4953.0,33222.0,38175.0,129185.0,9087.0,138272.0,147359.0,19.5,2.4,21.9,24.3,23.7,4.4,28.1,32.5,16.6,2.9,19.5,22.4,14.7,1.05,15.7,16.8,228749.0,53679.0,170198.0,879709.0,1998
Nebraska,1736.0,37233.0,38969.0,51856.0,10398.0,62254.0,72652.0,16521.0,4698.0,21219.0,25917.0,29127.0,9400.0,38527.0,47927.0,153572.0,16415.0,169986.0,186401.0,11.5,2.3,13.8,16.1,13.9,4.0,17.9,21.9,8.9,2.85,11.7,14.6,9.3,1.0,10.3,11.3,451179.0,118551.0,328757.0,1654294.0,1998
Nevada,1786.0,39867.0,41653.0,62182.0,10948.0,73130.0,84078.0,17499.0,5614.0,23112.0,28726.0,37682.0,9266.0,46948.0,56214.0,172839.0,16140.0,188979.0,205119.0,12.8,2.2,15.0,17.2,12.3,3.9,16.2,20.1,11.2,2.7,13.9,16.6,9.6,0.9,10.5,11.4,487523.0,142729.0,337685.0,1797602.0,1998
New Hampshire,1956.0,45401.0,47357.0,24196.0,7595.0,31791.0,39386.0,5427.0,3277.0,8704.0,11981.0,13827.0,6767.0,20594.0,27361.0,77249.0,12007.0,89256.0,101263.0,8.1,2.5,10.6,13.1,7.3,4.45,11.8,16.2,6.4,3.1,9.5,12.6,6.5,1.0,7.5,8.5,300536.0,73863.0,216668.0,1189783.0,1998
New Jersey,1870.0,49615.0,51485.0,229776.0,40762.0,270538.0,311300.0,43711.0,19184.0,62895.0,82079.0,161299.0,35234.0,196533.0,231767.0,654342.0,63066.0,717408.0,780473.0,11.2,2.0,13.2,15.2,7.8,3.4,11.2,14.6,10.9,2.4,13.3,15.7,8.0,0.8,8.8,9.6,2049529.0,562408.0,1477939.0,8148286.0,1998
New Mexico,1619.0,31445.0,33063.0,122722.0,13836.0,136557.0,150393.0,39222.0,6356.0,45578.0,51934.0,75145.0,12250.0,87395.0,99645.0,309777.0,20548.0,330325.0,350872.0,24.4,2.75,27.1,29.9,29.1,4.75,33.8,38.6,20.8,3.35,24.1,27.5,17.8,1.2,19.0,20.2,503317.0,134681.0,361977.0,1736437.0,1998
New York,1306.0,38290.0,39596.0,973211.0,84735.0,1057946.0,1142681.0,253790.0,36787.0,290577.0,327364.0,658531.0,75110.0,733641.0,808751.0,2652647.0,141913.0,2794560.0,2936473.0,21.4,1.9,23.3,25.2,20.4,3.0,23.4,26.4,20.4,2.3,22.7,25.0,14.6,0.8,15.4,16.2,4538620.0,1241270.0,3232347.0,18111072.0,1998
North Carolina,1478.0,35982.0,37460.0,340863.0,41618.0,382481.0,424099.0,95724.0,18887.0,114611.0,133497.0,214728.0,36439.0,251167.0,287606.0,911428.0,66678.0,978106.0,1044784.0,17.3,2.1,19.4,21.5,17.4,3.45,20.8,24.3,15.5,2.65,18.2,20.8,12.1,0.85,13.0,13.8,1972024.0,549790.0,1381968.0,7552005.0,1998
North Dakota,1801.0,32430.0,34230.0,24121.0,4001.0,28122.0,32123.0,7230.0,1811.0,9041.0,10851.0,14339.0,3557.0,17896.0,21453.0,73667.0,6714.0,80381.0,87095.0,14.9,2.45,17.3,19.8,18.1,4.55,22.6,27.2,11.9,2.95,14.9,17.8,11.8,1.05,12.9,13.9,162123.0,39968.0,120408.0,624343.0,1998
Ohio,1402.0,38726.0,40128.0,420602.0,54106.0,474707.0,528813.0,123301.0,25386.0,148687.0,174073.0,252934.0,46806.0,299740.0,346546.0,1120530.0,81747.0,1202277.0,1284024.0,14.6,1.85,16.4,18.3,16.4,3.35,19.8,23.1,12.2,2.2,14.4,16.6,10.0,0.75,10.7,11.5,2888859.0,752276.0,2081379.0,11195534.0,1998
